Type,Element,Meaning,Example Word,Example Meaning,Quiz Prompt,Rarity (1-10)
ROOT,encumber (Old French/Latin),to burden / to load,encumbrance search,a search of public registers to identify charges and other encumbrances on property,How does an 'encumbrance' on title affect a purchaser's ability to obtain mortgage financing?,5
ROOT,encumbrance (Old French/Latin),a burden / a hindrance,encumbrance,"a charge, lien, or liability attached to property limiting free use",How does a mortgage operate as an 'encumbrance' on the title to real property?,5
ROOT,enterprise (Old French/Latin),to undertake / to take between,enterprise value (EV),"the total value of a business including debt, equity, and minority interests",How does 'enterprise value' differ from 'equity value' in a business acquisition?,3
ROOT,enzyme (Greek),in leaven / within yeast,enzyme,a biological catalyst that speeds up reactions inside cells,How does 'enzyme' (en + zyme — in yeast) reflect its discovery in fermentation?,4
ROOT,epistem (Greek),to know / to stand upon,epistemology,the branch of philosophy studying the nature and scope of knowledge,How does 'epistem' shape the meaning of 'epistemic' and 'episteme'?,6
ROOT,equity (Latin),fairness / equal dealing,equitable remedy,"a remedy developed by courts of equity (e.g., injunction, specific performance)",How does 'equity' supplement the common law where strict legal rules produce an unjust result?,3
ROOT,equity (Latin),fairness / ownership share,equity kicker,a right given to a lender to acquire equity in the borrower as additional compensation,Why do mezzanine lenders commonly negotiate an 'equity kicker' alongside their debt?,3
ROOT,err (Latin),to wander / to make a mistake,error,a mistake,How does 'err' connect 'erratic' (wandering unpredictably) and 'errant'?,3
ROOT,escrow (Old French/Germanic),a scroll / a roll held in reserve,escrow,a deposit held by a neutral third party pending fulfilment of conditions,How does 'escrow' protect both buyer and seller in a real-estate transaction?,5
ROOT,escrow (Old French/Germanic),a scroll held in trust,escrow account,a bank account held by a neutral third party to hold funds pending completion of conditions,How does an 'escrow account' reduce counterparty risk in merger and acquisition transactions?,5
ROOT,estoppel (Old French),to stop up / to bar,promissory estoppel,a doctrine preventing a party from going back on a promise relied upon by another,How does 'estoppel' operate as an equitable shield and sword in contract disputes?,6
ROOT,eviction (Latin),to overcome / to expel,constructive eviction,a landlord's conduct that so impairs a tenant's enjoyment as to force them to leave,How does 'constructive eviction' differ from physical eviction as a tenant remedy?,3
ROOT,evidence (Latin),to make clear / to show,admissible evidence,evidence that a court may properly consider under the rules of evidence,What is the difference between 'relevant' evidence and 'admissible' evidence?,2
ROOT,execution (Latin),to follow out / to carry through,execution of judgment,the enforcement of a court judgment — typically seizing assets to satisfy a debt,How does 'execution' of a judgment differ from 'enforcement' of an arbitration award?,3
ROOT,expropriation (Latin),to take from one's own,expropriation,"the taking of private property by a state, with or without compensation",How does 'expropriation' under public international law trigger a right to compensation?,6
ROOT,extradition (Latin),to deliver up / to hand over,extradition treaty,a bilateral agreement obliging states to return fugitives to the requesting state,"What defenses may a person resist 'extradition' on, including political offense exceptions?",5
ROOT,fac / fec / fic (Latin),to make / to do,factory,a place where things are made,"How does 'fac' connect 'manufacture,' 'affect,' and 'fiction'?",4
ROOT,fascia (Latin),band / bundle / layer,fasciotomy,a surgical cut into the fascia to relieve pressure,How does 'fascia' connect 'fascicle' (a small bundle) and 'fasciation' (abnormal flattening into a band)?,6
ROOT,femur (Latin),thigh,femoral,relating to the femur or thigh,How does 'femur' connect 'femoral artery' and 'bifemoral' (involving both thighs)?,4
ROOT,fenestra (Latin),window,fenestration,the surgical creation of a new opening (window),How does 'fenestra' connect 'defenestration' (throwing out a window) and 'fenestrated capillaries'?,7
ROOT,fer (Latin),to carry / to bear / to bring,transfer,to carry across,"How does 'fer' connect 'fertile,' 'differ,' and 'infer'?",3
ROOT,ferment (Latin),to boil / to leaven,fermentation,the metabolic process of breaking down sugars without oxygen,How does 'ferment' connect 'enzyme' (discovered in fermentation) and 'fermentor'?,4
ROOT,fibula (Latin),clasp / pin,fibula,the slender outer bone of the lower leg (shaped like a clasp),How does 'fibula' connect the anatomical bone and the Roman 'fibula' clothing pin?,6
ROOT,fid (Latin),faith / trust,confident,having strong trust in oneself,How does 'fid' shape the meaning of 'fidelity' and 'infidel'?,4
ROOT,fiduciary (Latin),trust / faith,fiduciary duty,the highest duty of loyalty and care owed by one person to another,Who owes a 'fiduciary duty' and what specific obligations does it impose?,5
ROOT,fiduciary (Latin),trust / faith,fiduciary duty of directors,the duty of a company director to act in the best interests of the company and its shareholders,How does the 'business judgment rule' protect directors who exercise their 'fiduciary duty' in good faith?,5
ROOT,fin (Latin),end / limit / boundary,final,relating to the end,"How does 'fin' connect 'finish,' 'infinite,' and 'define'?",2
ROOT,flagellum (Latin),whip,flagellate,an organism that moves using a whip-like flagellum,How does 'flagellum' connect 'flagellation' (whipping) and 'flagellar motor'?,7
ROOT,flect / flex (Latin),to bend,reflect,to bend back (light or thought),How does 'flex' explain the meaning of 'flexible'?,4
ROOT,float (Old English/Germanic),to drift / to launch,free float,the proportion of a company's shares available for public trading on a stock exchange,How does a larger 'free float' improve a company's market liquidity and index eligibility?,4
ROOT,floccul (Latin),a tuft of wool / flake,flocculation,the clumping of fine particles into fluffy clusters,How does 'floccul' connect 'flocculant' and 'flocculonodular lobe' (a wool-tuft-like brain region)?,9
ROOT,flu / flux (Latin),to flow,fluent,flowing smoothly in speech,"How does 'flu' connect 'fluid,' 'influence' (to flow into), and 'influx'?",4
ROOT,foramen (Latin),opening / hole,foramen magnum,the large opening at the base of the skull,How does 'foramen' connect 'foraminifera' (holed organisms) and 'intervertebral foramen'?,8
ROOT,foreseeability (Latin/Old French),to see in advance,reasonable foreseeability,the test for whether a defendant could have anticipated the type of harm caused,How does 'foreseeability' limit the scope of liability in negligence?,4
ROOT,forfeit (Old French/Latin),to commit an offense / to lose,forfeiture,the loss of a right or property as a penalty for a legal violation,How does civil 'forfeiture' of assets differ from criminal 'forfeiture' following conviction?,4
ROOT,form (Latin),shape,transform,to change shape,How does 'form' shape the meaning of 'conform' (to shape along with others)?,2
ROOT,fort (Latin),strength / strong,fortify,to make strong,"How does 'fort' connect 'fortress,' 'effort,' and 'comfort'?",2
ROOT,fovea (Latin),a small pit,fovea centralis,the central pit in the retina with highest visual acuity,How does 'fovea' connect 'foveola' (a tiny pit) and 'foveal vision'?,8
ROOT,fract / frag (Latin),to break,fracture,a break in a bone or object,How does 'fract' connect 'fraction' (a broken part) and 'fragment'?,3
ROOT,franchise (Old French/Latin),freedom / liberty,master franchise,a franchise agreement granting the right to sub-franchise in an entire territory,How does a 'master franchise' arrangement differ from a direct franchise model?,3
ROOT,fraud (Latin),deceit / trickery,fraud on the court,deliberate deception of a judicial tribunal to obtain a favorable result,What distinguishes 'fraud' (intentional misrepresentation) from 'negligent misrepresentation'?,3
ROOT,frustration (Latin),to deceive / to make useless,frustration of contract,the discharge of a contract when an unforeseen event makes performance impossible,How does 'frustration' differ from 'force majeure' as a basis for non-performance?,5
ROOT,fug (Latin),to flee,refugee,one who flees for safety,How does 'fug' shape the meaning of 'fugitive'?,5
ROOT,fungible (Latin),to perform / to use up,fungible goods,goods of a kind where any unit is interchangeable with any other unit,Why must custodians of 'fungible assets' maintain appropriate segregation records?,7
ROOT,fus (Latin),to pour / to melt,transfusion,a pouring of blood across into another,How does 'fus' connect 'confuse' (poured together) and 'diffuse'?,4
ROOT,gamete (Greek),spouse / to marry,gametogenesis,the formation of gametes (sex cells),How does 'gamete' connect 'syngamy' (fusion of gametes) and 'gametophyte'?,5
ROOT,gangli (Greek),knot / mass,ganglion,a cluster of nerve cell bodies outside the brain and spinal cord,How does 'gangli' connect 'basal ganglia' and 'ganglioside' (a lipid in nerve tissue)?,7
ROOT,garnish (Old French/Germanic),to warn / to garnish,garnishment,a court order directing a third party to hold a debtor's assets to satisfy a judgment,How does 'garnishment' of wages operate as a debt-enforcement mechanism?,6
ROOT,gelatin (Latin),to freeze / to congeal,gelatinous,having the consistency of jelly (congealed),"How does 'gelatin' connect 'gel,' 'gelato,' and 'gelignite' (a jelly-like explosive)?",4
ROOT,gen (Greek/Latin),birth / race / origin / produce,generate,to produce or create,"How does 'gen' connect 'gene,' 'generation,' and 'genius'?",2
ROOT,geo (Greek),earth,geography,the study of the earth's features,How does 'geo' shape the meaning of 'geology' and 'geothermal'?,1
ROOT,gest (Latin),to carry / to bear,gesture,a motion that carries meaning,How does 'gest' connect 'ingest' (carry in) and 'digest'?,4
ROOT,gingiva (Latin),gum (of the mouth),gingivitis,inflammation of the gums,How does 'gingiva' connect 'gingival recession' and 'periodontal' (relating to the same structures)?,7
ROOT,glial (Greek),glue,gliosis,a proliferation of glial cells in response to brain injury,How does 'glia' (glue) describe the supporting role of glial cells in the nervous system?,7
